ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10770253,HZ535507,12/01/2016 05:30:00 AM,060XX N JERSEY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,1711,017,50,13,08B,1153381,1939975,2016,12/08/2016 03:55:45 PM,41.991138077,-87.711187438,"(41.991138077, -87.711187438)"
10770873,HZ536337,12/01/2016 05:45:00 AM,024XX W CORTLAND ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1434,014,1,22,06,1159566,1912545,2016,12/08/2016 03:55:45 PM,41.91574305,-87.689195708,"(41.91574305, -87.689195708)"
10770809,HZ536301,12/01/2016 05:50:00 AM,025XX W DIVERSEY AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1411,014,1,22,07,1158756,1918513,2016,12/08/2016 03:55:45 PM,41.93213633,-87.692007606,"(41.93213633, -87.692007606)"
10770140,HZ535485,12/01/2016 05:55:00 AM,008XX W 77TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0621,006,17,71,03,1172196,1853801,2016,12/08/2016 03:55:45 PM,41.754274652,-87.644524934,"(41.754274652, -87.644524934)"
10770942,HZ536461,12/01/2016 06:00:00 AM,061XX S CAMPBELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,0825,008,15,66,14,1160757,1863853,2016,12/08/2016 03:55:45 PM,41.782102459,-87.686168201,"(41.782102459, -87.686168201)"
10770654,HZ536068,12/01/2016 06:00:00 AM,029XX S PARNELL AVE,0820,THEFT,$500 AND UNDER,STREET,false,false,0914,009,11,60,06,1173105,1885398,2016,12/08/2016 03:55:45 PM,41.840960102,-87.640260152,"(41.840960102, -87.640260152)"
10770358,HZ535487,12/01/2016 06:00:00 AM,081XX S KILPATRICK AVE,0325,ROBBERY,VEHICULAR HIJACKING,DRIVEWAY - RESIDENTIAL,false,false,0834,008,13,70,03,1146574,1850216,2016,12/08/2016 03:55:45 PM,41.744961324,-87.738513261,"(41.744961324, -87.738513261)"
10770341,HZ535505,12/01/2016 06:05:00 AM,010XX W 111TH ST,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,2234,022,34,75,03,1171468,1831207,2016,12/08/2016 03:55:45 PM,41.692289426,-87.647852131,"(41.692289426, -87.647852131)"
10770094,HZ535493,12/01/2016 06:15:00 AM,061XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0311,003,20,40,08B,1179972,1864463,2016,12/08/2016 03:55:45 PM,41.783357911,-87.615702563,"(41.783357911, -87.615702563)"
10770628,HZ536022,12/01/2016 06:20:00 AM,055XX S COTTAGE GROVE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0235,002,5,41,14,1182525,1868549,2016,12/08/2016 03:55:45 PM,41.794511404,-87.606215806,"(41.794511404, -87.606215806)"
10771761,HZ537318,12/01/2016 06:30:00 AM,003XX W 64TH ST,0890,THEFT,FROM BUILDING,HOSPITAL BUILDING/GROUNDS,false,false,0722,007,20,68,06,1175044,1862506,2016,12/08/2016 03:55:45 PM,41.778099133,-87.633828531,"(41.778099133, -87.633828531)"
10771211,HZ535521,12/01/2016 06:30:00 AM,061XX S DR MARTIN LUTHER KING JR DR,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,false,false,0311,003,20,40,08B,1179972,1864463,2016,12/08/2016 03:55:45 PM,41.783357911,-87.615702563,"(41.783357911, -87.615702563)"
10770752,HZ536293,12/01/2016 06:45:00 AM,057XX S PAYNE DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,0233,002,20,40,14,1182112,1867214,2016,12/08/2016 03:55:45 PM,41.790857624,-87.607771565,"(41.790857624, -87.607771565)"
10774689,HZ541033,12/01/2016 07:00:00 AM,047XX N ALBANY AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,OTHER,false,false,1713,017,33,14,11,1154858,1931248,2016,12/08/2016 03:55:45 PM,41.96716115,-87.705989725,"(41.96716115, -87.705989725)"
10771707,HZ536962,12/01/2016 07:00:00 AM,038XX N NARRAGANSETT AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),false,false,1633,016,38,17,14,1133024,1924788,2016,12/08/2016 03:55:45 PM,41.949844872,-87.786423448,"(41.949844872, -87.786423448)"
10771235,HZ536748,12/01/2016 07:00:00 AM,076XX S LAFAYETTE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,false,false,0623,006,6,69,05,1177158,1854444,2016,12/08/2016 03:55:45 PM,41.755928664,-87.626321518,"(41.755928664, -87.626321518)"
